V1	V2	V3	father
11872	R-HSA-3656534	Loss of Function of TGFBR1 in Cancer	Homo sapiens	Disease
11873	R-HSA-3642278	Loss of Function of TGFBR2 in Cancer	Homo sapiens	Disease
11874	R-HSA-9723907	Loss of Function of TP53 in Cancer	Homo sapiens	Disease
11875	R-HSA-9022534	Loss of MECP2 binding ability to 5hmC-DNA	Homo sapiens	Disease
11876	R-HSA-9022538	Loss of MECP2 binding ability to 5mC-DNA	Homo sapiens	Disease
11877	R-HSA-9022537	Loss of MECP2 binding ability to the NCoR/SMRT complex	Homo sapiens	Disease
11878	R-HSA-380259	Loss of Nlp from mitotic centrosomes	Homo sapiens	Cell Cycle
11879	R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	Homo sapiens	Disease
11880	R-HSA-9723905	Loss of function of TP53 in cancer due to loss of tetramerization ability	Homo sapiens	Disease
11881	R-HSA-9022535	Loss of phosphorylation of MECP2 at T308	Homo sapiens	Disease
11882	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	Homo sapiens	Cell Cycle
11883	R-HSA-71064	Lysine catabolism	Homo sapiens	Metabolism
11884	R-HSA-8853383	Lysosomal oligosaccharide catabolism	Homo sapiens	Metabolism
11885	R-HSA-432720	Lysosome Vesicle Biogenesis	Homo sapiens	Vesicle-mediated transport
11886	R-HSA-419408	Lysosphingolipid and LPA receptors	Homo sapiens	Signal Transduction
11887	R-HSA-68886	M Phase	Homo sapiens	Cell Cycle
11888	R-HSA-9820841	M-decay: degradation of maternal mRNAs by maternally stored factors	Homo sapiens	Developmental Biology
11889	R-HSA-450294	MAP kinase activation	Homo sapiens	Immune System
11890	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	Signal Transduction
11891	R-HSA-5684264	MAP3K8 (TPL2)-dependent MAPK1/3 activation	Homo sapiens	Immune System
11892	R-HSA-5683057	MAPK family signaling cascades	Homo sapiens	Signal Transduction
11893	R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	Homo sapiens	Immune System
11894	R-HSA-112411	MAPK1 (ERK2) activation	Homo sapiens	Signal Transduction
11895	R-HSA-5684996	MAPK1/MAPK3 signaling	Homo sapiens	Signal Transduction
11896	R-HSA-110056	MAPK3 (ERK1) activation	Homo sapiens	Signal Transduction
11897	R-HSA-5687128	MAPK6/MAPK4 signaling	Homo sapiens	Signal Transduction
11898	R-HSA-2465910	MASTL Facilitates Mitotic Progression	Homo sapiens	Cell Cycle
11899	R-HSA-9022699	MECP2 regulates neuronal receptors and channels	Homo sapiens	Gene expression (Transcription)
11900	R-HSA-9022707	MECP2 regulates transcription factors	Homo sapiens	Gene expression (Transcription)
11901	R-HSA-9022927	MECP2 regulates transcription of genes involved in GABA signaling	Homo sapiens	Gene expression (Transcription)
11902	R-HSA-9022702	MECP2 regulates transcription of neuronal ligands	Homo sapiens	Gene expression (Transcription)
11903	R-HSA-6806942	MET Receptor Activation	Homo sapiens	Signal Transduction
11904	R-HSA-8851907	MET activates PI3K/AKT signaling	Homo sapiens	Signal Transduction
11905	R-HSA-8874081	MET activates PTK2 signaling	Homo sapiens	Signal Transduction
11906	R-HSA-8865999	MET activates PTPN11	Homo sapiens	Signal Transduction
11907	R-HSA-8875555	MET activates RAP1 and RAC1	Homo sapiens	Signal Transduction
11908	R-HSA-8851805	MET activates RAS signaling	Homo sapiens	Signal Transduction
11909	R-HSA-8875791	MET activates STAT3	Homo sapiens	Signal Transduction
11910	R-HSA-8875513	MET interacts with TNS proteins	Homo sapiens	Signal Transduction
11911	R-HSA-8875878	MET promotes cell motility	Homo sapiens	Signal Transduction
11912	R-HSA-8875656	MET receptor recycling	Homo sapiens	Signal Transduction
11913	R-HSA-5657655	MGMT-mediated DNA damage reversal	Homo sapiens	DNA Repair
11914	R-HSA-2132295	MHC class II antigen presentation	Homo sapiens	Immune System
11915	R-HSA-2206302	MPS I - Hurler syndrome	Homo sapiens	Disease
11916	R-HSA-2206296	MPS II - Hunter syndrome	Homo sapiens	Disease
11917	R-HSA-2206307	MPS IIIA - Sanfilippo syndrome A	Homo sapiens	Disease
11918	R-HSA-2206282	MPS IIIB - Sanfilippo syndrome B	Homo sapiens	Disease
11919	R-HSA-2206291	MPS IIIC - Sanfilippo syndrome C	Homo sapiens	Disease
11920	R-HSA-2206305	MPS IIID - Sanfilippo syndrome D	Homo sapiens	Disease
11921	R-HSA-2206290	MPS IV - Morquio syndrome A	Homo sapiens	Disease
11922	R-HSA-2206308	MPS IV - Morquio syndrome B	Homo sapiens	Disease
11923	R-HSA-2206280	MPS IX - Natowicz syndrome	Homo sapiens	Disease
11924	R-HSA-2206285	MPS VI - Maroteaux-Lamy syndrome	Homo sapiens	Disease
11925	R-HSA-2206292	MPS VII - Sly syndrome	Homo sapiens	Disease
11926	R-HSA-5660489	MTF1 activates gene expression	Homo sapiens	Cellular responses to stimuli
11927	R-HSA-165159	MTOR signalling	Homo sapiens	Signal Transduction
11928	R-HSA-1632852	Macroautophagy	Homo sapiens	Autophagy
11929	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	Homo sapiens	Metabolism of RNA
11930	R-HSA-9636667	Manipulation of host energy metabolism	Homo sapiens	Disease
11931	R-HSA-9669924	Masitinib-resistant KIT mutants	Homo sapiens	Disease
11932	R-HSA-9816359	Maternal to zygotic transition (MZT)	Homo sapiens	Developmental Biology
11933	R-HSA-9683610	Maturation of nucleoprotein	Homo sapiens	Disease
11934	R-HSA-9694631	Maturation of nucleoprotein	Homo sapiens	Disease
11935	R-HSA-9683673	Maturation of protein 3a	Homo sapiens	Disease
11936	R-HSA-9694719	Maturation of protein 3a	Homo sapiens	Disease
11937	R-HSA-9683683	Maturation of protein E	Homo sapiens	Disease
11938	R-HSA-9694493	Maturation of protein E	Homo sapiens	Disease
11939	R-HSA-9683612	Maturation of protein M	Homo sapiens	Disease
11940	R-HSA-9694594	Maturation of protein M	Homo sapiens	Disease
11941	R-HSA-9684325	Maturation of replicase proteins	Homo sapiens	Disease
11942	R-HSA-9694301	Maturation of replicase proteins	Homo sapiens	Disease
11943	R-HSA-9683686	Maturation of spike protein	Homo sapiens	Disease
11944	R-HSA-9694548	Maturation of spike protein	Homo sapiens	Disease
11945	R-HSA-1500620	Meiosis	Homo sapiens	Cell Cycle_Reproduction
11946	R-HSA-912446	Meiotic recombination	Homo sapiens	Cell Cycle_Reproduction
11947	R-HSA-1221632	Meiotic synapsis	Homo sapiens	Cell Cycle_Reproduction
11948	R-HSA-5662702	Melanin biosynthesis	Homo sapiens	Metabolism
11949	R-HSA-199991	Membrane Trafficking	Homo sapiens	Vesicle-mediated transport
11950	R-HSA-174490	Membrane binding and targetting of GAG proteins	Homo sapiens	Disease
11951	R-HSA-5579029	Metabolic disorders of biological oxidation enzymes	Homo sapiens	Disease
11952	R-HSA-1430728	Metabolism	Homo sapiens	Metabolism
11953	R-HSA-2022377	Metabolism of Angiotensinogen to Angiotensins	Homo sapiens	Metabolism of proteins
11954	R-HSA-8953854	Metabolism of RNA	Homo sapiens	Metabolism of RNA
11955	R-HSA-209776	Metabolism of amine-derived hormones	Homo sapiens	Metabolism
11956	R-HSA-71291	Metabolism of amino acids and derivatives	Homo sapiens	Metabolism
11957	R-HSA-71387	Metabolism of carbohydrates	Homo sapiens	Metabolism
11958	R-HSA-8978934	Metabolism of cofactors	Homo sapiens	Metabolism
11959	R-HSA-6806667	Metabolism of fat-soluble vitamins	Homo sapiens	Metabolism
11960	R-HSA-196757	Metabolism of folate and pterines	Homo sapiens	Metabolism
11961	R-HSA-2408550	Metabolism of ingested H2SeO4 and H2SeO3 into H2Se	Homo sapiens	Metabolism
11962	R-HSA-5263617	Metabolism of ingested MeSeO2H into MeSeH	Homo sapiens	Metabolism
11963	R-HSA-2408508	Metabolism of ingested SeMet, Sec, MeSec into H2Se	Homo sapiens	Metabolism
11964	R-HSA-556833	Metabolism of lipids	Homo sapiens	Metabolism
11965	R-HSA-202131	Metabolism of nitric oxide: NOS3 activation and regulation	Homo sapiens	Metabolism
11966	R-HSA-194441	Metabolism of non-coding RNA	Homo sapiens	Metabolism of RNA
11967	R-HSA-15869	Metabolism of nucleotides	Homo sapiens	Metabolism
11968	R-HSA-351202	Metabolism of polyamines	Homo sapiens	Metabolism
11969	R-HSA-189445	Metabolism of porphyrins	Homo sapiens	Metabolism
11970	R-HSA-392499	Metabolism of proteins	Homo sapiens	Metabolism of proteins
11971	R-HSA-380612	Metabolism of serotonin	Homo sapiens	Neuronal System
11972	R-HSA-196071	Metabolism of steroid hormones	Homo sapiens	Metabolism
11973	R-HSA-8957322	Metabolism of steroids	Homo sapiens	Metabolism
11974	R-HSA-6806664	Metabolism of vitamin K	Homo sapiens	Metabolism
11975	R-HSA-196854	Metabolism of vitamins and cofactors	Homo sapiens	Metabolism
11976	R-HSA-196849	Metabolism of water-soluble vitamins and cofactors	Homo sapiens	Metabolism
11977	R-HSA-425410	Metal ion SLC transporters	Homo sapiens	Transport of small molecules
11978	R-HSA-6799990	Metal sequestration by antimicrobial proteins	Homo sapiens	Immune System
11979	R-HSA-5689901	Metalloprotease DUBs	Homo sapiens	Metabolism of proteins
11980	R-HSA-5661231	Metallothioneins bind metals	Homo sapiens	Cellular responses to stimuli
11981	R-HSA-1237112	Methionine salvage pathway	Homo sapiens	Metabolism
11982	R-HSA-156581	Methylation	Homo sapiens	Metabolism
11983	R-HSA-2408552	Methylation of MeSeH for excretion	Homo sapiens	Metabolism
11984	R-HSA-203927	MicroRNA (miRNA) biogenesis	Homo sapiens	Gene expression (Transcription)
11985	R-HSA-9686347	Microbial modulation of RIPK1-mediated regulated necrosis	Homo sapiens	Disease
11986	R-HSA-190840	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	Homo sapiens	Vesicle-mediated transport
11987	R-HSA-193993	Mineralocorticoid biosynthesis	Homo sapiens	Metabolism
11988	R-HSA-164516	Minus-strand DNA synthesis	Homo sapiens	Disease
11989	R-HSA-9715370	Miro GTPase Cycle	Homo sapiens	Signal Transduction
11990	R-HSA-211958	Miscellaneous substrates	Homo sapiens	Metabolism
11991	R-HSA-5223345	Miscellaneous transport and binding events	Homo sapiens	Transport of small molecules
11992	R-HSA-5358508	Mismatch Repair	Homo sapiens	DNA Repair
11993	R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	Homo sapiens	DNA Repair
11994	R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	Homo sapiens	DNA Repair
11995	R-HSA-1369007	Mitochondrial ABC transporters	Homo sapiens	Transport of small molecules
11996	R-HSA-77289	Mitochondrial Fatty Acid Beta-Oxidation	Homo sapiens	Metabolism
11997	R-HSA-9836573	Mitochondrial RNA degradation	Homo sapiens	Metabolism of RNA
11998	R-HSA-166187	Mitochondrial Uncoupling	Homo sapiens	Metabolism
11999	R-HSA-1592230	Mitochondrial biogenesis	Homo sapiens	Organelle biogenesis and maintenance
12000	R-HSA-8949215	Mitochondrial calcium ion transport	Homo sapiens	Transport of small molecules
12001	R-HSA-1362409	Mitochondrial iron-sulfur cluster biogenesis	Homo sapiens	Metabolism
12002	R-HSA-1268020	Mitochondrial protein import	Homo sapiens	Protein localization
12003	R-HSA-379726	Mitochondrial tRNA aminoacylation	Homo sapiens	Metabolism of proteins
12004	R-HSA-163282	Mitochondrial transcription initiation	Homo sapiens	Gene expression (Transcription)
12005	R-HSA-163316	Mitochondrial transcription termination	Homo sapiens	Gene expression (Transcription)
12006	R-HSA-5368287	Mitochondrial translation	Homo sapiens	Metabolism of proteins
12007	R-HSA-5389840	Mitochondrial translation elongation	Homo sapiens	Metabolism of proteins
12008	R-HSA-5368286	Mitochondrial translation initiation	Homo sapiens	Metabolism of proteins
12009	R-HSA-5419276	Mitochondrial translation termination	Homo sapiens	Metabolism of proteins
12010	R-HSA-5205647	Mitophagy	Homo sapiens	Autophagy
12011	R-HSA-68882	Mitotic Anaphase	Homo sapiens	Cell Cycle
12012	R-HSA-453279	Mitotic G1 phase and G1/S transition	Homo sapiens	Cell Cycle
12013	R-HSA-453274	Mitotic G2-G2/M phases	Homo sapiens	Cell Cycle
12014	R-HSA-2555396	Mitotic Metaphase and Anaphase	Homo sapiens	Cell Cycle
12015	R-HSA-68881	Mitotic Metaphase/Anaphase Transition	Homo sapiens	Cell Cycle
12016	R-HSA-68877	Mitotic Prometaphase	Homo sapiens	Cell Cycle
12017	R-HSA-68875	Mitotic Prophase	Homo sapiens	Cell Cycle
12018	R-HSA-69618	Mitotic Spindle Checkpoint	Homo sapiens	Cell Cycle
12019	R-HSA-68884	Mitotic Telophase/Cytokinesis	Homo sapiens	Cell Cycle
12020	R-HSA-9637628	Modulation by Mtb of host immune system	Homo sapiens	Disease
12021	R-HSA-2129379	Molecules associated with elastic fibres	Homo sapiens	Extracellular matrix organization
12022	R-HSA-947581	Molybdenum cofactor biosynthesis	Homo sapiens	Metabolism
12023	R-HSA-1222449	Mtb iron assimilation by chelation	Homo sapiens	Disease
12024	R-HSA-2206281	Mucopolysaccharidoses	Homo sapiens	Disease
12025	R-HSA-427601	Multifunctional anion exchangers	Homo sapiens	Transport of small molecules
12026	R-HSA-390648	Muscarinic acetylcholine receptors	Homo sapiens	Signal Transduction
12027	R-HSA-397014	Muscle contraction	Homo sapiens	Muscle contraction
12028	R-HSA-975871	MyD88 cascade initiated on plasma membrane	Homo sapiens	Immune System
12029	R-HSA-5602498	MyD88 deficiency (TLR2/4)	Homo sapiens	Disease
12030	R-HSA-5602680	MyD88 deficiency (TLR5)	Homo sapiens	Disease
12031	R-HSA-975155	MyD88 dependent cascade initiated on endosome	Homo sapiens	Immune System
12032	R-HSA-166166	MyD88-independent TLR4 cascade 	Homo sapiens	Immune System
12033	R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	Homo sapiens	Immune System
12034	R-HSA-3785653	Myoclonic epilepsy of Lafora	Homo sapiens	Disease
12035	R-HSA-525793	Myogenesis	Homo sapiens	Developmental Biology
12036	R-HSA-975577	N-Glycan antennae elongation	Homo sapiens	Metabolism of proteins
12037	R-HSA-975576	N-glycan antennae elongation in the medial/trans-Golgi	Homo sapiens	Metabolism of proteins
12038	R-HSA-964739	N-glycan trimming and elongation in the cis-Golgi	Homo sapiens	Metabolism of proteins
12039	R-HSA-532668	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	Homo sapiens	Metabolism of proteins
12040	R-HSA-205025	NADE modulates death signalling	Homo sapiens	Signal Transduction
12041	R-HSA-389542	NADPH regeneration	Homo sapiens	Metabolism
12042	R-HSA-375165	NCAM signaling for neurite out-growth	Homo sapiens	Developmental Biology
12043	R-HSA-419037	NCAM1 interactions	Homo sapiens	Developmental Biology
12044	R-HSA-9636003	NEIL3-mediated resolution of ICLs	Homo sapiens	DNA Repair
12045	R-HSA-168333	NEP/NS2 Interacts with the Cellular Export Machinery	Homo sapiens	Disease
12046	R-HSA-933543	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	Homo sapiens	Immune System
12047	R-HSA-209560	NF-kB is activated and signals survival	Homo sapiens	Signal Transduction
12048	R-HSA-9818028	NFE2L2 regulates pentose phosphate pathway genes	Homo sapiens	Cellular responses to stimuli
12049	R-HSA-9818035	NFE2L2 regulating ER-stress associated genes	Homo sapiens	Cellular responses to stimuli
12050	R-HSA-9818032	NFE2L2 regulating MDR associated enzymes	Homo sapiens	Cellular responses to stimuli
12051	R-HSA-9818025	NFE2L2 regulating TCA cycle genes	Homo sapiens	Cellular responses to stimuli
12052	R-HSA-9818027	NFE2L2 regulating anti-oxidant/detoxification enzymes	Homo sapiens	Cellular responses to stimuli
12053	R-HSA-9818026	NFE2L2 regulating inflammation associated genes	Homo sapiens	Cellular responses to stimuli
12054	R-HSA-9818030	NFE2L2 regulating tumorigenic genes	Homo sapiens	Cellular responses to stimuli
12055	R-HSA-205017	NFG and proNGF binds to p75NTR	Homo sapiens	Signal Transduction
12056	R-HSA-167060	NGF processing	Homo sapiens	Signal Transduction
12057	R-HSA-187024	NGF-independant TRKA activation	Homo sapiens	Signal Transduction
12058	R-HSA-9031628	NGF-stimulated transcription	Homo sapiens	Signal Transduction
12059	R-HSA-5676590	NIK-->noncanonical NF-kB signaling	Homo sapiens	Immune System
12060	R-HSA-168638	NOD1/2 Signaling Pathway	Homo sapiens	Immune System
12061	R-HSA-203754	NOSIP mediated eNOS trafficking	Homo sapiens	Metabolism
12062	R-HSA-203641	NOSTRIN mediated eNOS trafficking	Homo sapiens	Metabolism
12063	R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	Homo sapiens	Signal Transduction
12064	R-HSA-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus	Homo sapiens	Signal Transduction
12065	R-HSA-2197563	NOTCH2 intracellular domain regulates transcription	Homo sapiens	Signal Transduction
12066	R-HSA-9013507	NOTCH3 Activation and Transmission of Signal to the Nucleus	Homo sapiens	Signal Transduction
12067	R-HSA-9013508	NOTCH3 Intracellular Domain Regulates Transcription	Homo sapiens	Signal Transduction
12068	R-HSA-9013700	NOTCH4 Activation and Transmission of Signal to the Nucleus	Homo sapiens	Signal Transduction
12069	R-HSA-9013695	NOTCH4 Intracellular Domain Regulates Transcription	Homo sapiens	Signal Transduction
12070	R-HSA-9768919	NPAS4 regulates expression of target genes	Homo sapiens	Gene expression (Transcription)
12071	R-HSA-1368071	NR1D1 (REV-ERBA) represses gene expression	Homo sapiens	Circadian Clock
12072	R-HSA-9632974	NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis 	Homo sapiens	Signal Transduction
12073	R-HSA-9029558	NR1H2 & NR1H3 regulate gene expression linked to lipogenesis	Homo sapiens	Signal Transduction
12074	R-HSA-9031528	NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose	Homo sapiens	Signal Transduction
12075	R-HSA-9623433	NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis	Homo sapiens	Signal Transduction
12076	R-HSA-9031525	NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake 	Homo sapiens	Signal Transduction
12077	R-HSA-9024446	NR1H2 and NR1H3-mediated signaling	Homo sapiens	Signal Transduction
12078	R-HSA-9029569	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	Homo sapiens	Signal Transduction
12079	R-HSA-193648	NRAGE signals death through JNK	Homo sapiens	Signal Transduction
12080	R-HSA-205043	NRIF signals cell death from the nucleus	Homo sapiens	Signal Transduction
12081	R-HSA-168276	NS1 Mediated Effects on Host Pathways	Homo sapiens	Disease
12082	R-HSA-9025046	NTF3 activates NTRK2 (TRKB) signaling	Homo sapiens	Signal Transduction
12083	R-HSA-9034013	NTF3 activates NTRK3 signaling	Homo sapiens	Signal Transduction
12084	R-HSA-9026357	NTF4 activates NTRK2 (TRKB) signaling	Homo sapiens	Signal Transduction
12085	R-HSA-9032759	NTRK2 activates RAC1	Homo sapiens	Signal Transduction
12086	R-HSA-9603505	NTRK3 as a dependence receptor	Homo sapiens	Signal Transduction
12087	R-HSA-9717301	NVP-TAE684-resistant ALK mutants	Homo sapiens	Disease
12088	R-HSA-442660	Na+/Cl- dependent neurotransmitter transporters	Homo sapiens	Transport of small molecules
12089	R-HSA-420597	Nectin/Necl  trans heterodimerization	Homo sapiens	Cell-Cell communication
12090	R-HSA-8951664	Neddylation	Homo sapiens	Metabolism of proteins
12091	R-HSA-167590	Nef Mediated CD4 Down-regulation	Homo sapiens	Disease
12092	R-HSA-182218	Nef Mediated CD8 Down-regulation	Homo sapiens	Disease
12093	R-HSA-164944	Nef and signal transduction	Homo sapiens	Disease
12094	R-HSA-164939	Nef mediated downregulation of CD28 cell surface expression	Homo sapiens	Disease
12095	R-HSA-164940	Nef mediated downregulation of MHC class I complex cell surface expression	Homo sapiens	Disease
12096	R-HSA-164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Homo sapiens	Disease
12097	R-HSA-5250941	Negative epigenetic regulation of rRNA expression	Homo sapiens	Gene expression (Transcription)
12098	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	Signal Transduction
12099	R-HSA-5654726	Negative regulation of FGFR1 signaling	Homo sapiens	Signal Transduction
12100	R-HSA-5654727	Negative regulation of FGFR2 signaling	Homo sapiens	Signal Transduction
12101	R-HSA-5654732	Negative regulation of FGFR3 signaling	Homo sapiens	Signal Transduction
12102	R-HSA-5654733	Negative regulation of FGFR4 signaling	Homo sapiens	Signal Transduction
12103	R-HSA-9706369	Negative regulation of FLT3	Homo sapiens	Immune System
12104	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	Signal Transduction
12105	R-HSA-6807004	Negative regulation of MET activity	Homo sapiens	Signal Transduction
12106	R-HSA-9617324	Negative regulation of NMDA receptor-mediated neuronal transmission	Homo sapiens	Neuronal System
12107	R-HSA-9604323	Negative regulation of NOTCH4 signaling	Homo sapiens	Signal Transduction
12108	R-HSA-5368598	Negative regulation of TCF-dependent signaling by DVL-interacting proteins	Homo sapiens	Signal Transduction
12109	R-HSA-3772470	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	Homo sapiens	Signal Transduction
12110	R-HSA-8866904	Negative regulation of activity of TFAP2 (AP-2) family transcription factors	Homo sapiens	Gene expression (Transcription)
12111	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	Signal Transduction
12112	R-HSA-936440	Negative regulators of DDX58/IFIH1 signaling	Homo sapiens	Immune System
12113	R-HSA-373753	Nephrin family interactions	Homo sapiens	Cell-Cell communication
12114	R-HSA-9675108	Nervous system development	Homo sapiens	Developmental Biology
12115	R-HSA-418886	Netrin mediated repulsion signals	Homo sapiens	Developmental Biology
12116	R-HSA-373752	Netrin-1 signaling	Homo sapiens	Developmental Biology
12117	R-HSA-6794361	Neurexins and neuroligins	Homo sapiens	Neuronal System
12118	R-HSA-8863678	Neurodegenerative Diseases	Homo sapiens	Disease
12119	R-HSA-447043	Neurofascin interactions	Homo sapiens	Developmental Biology
12120	R-HSA-112316	Neuronal System	Homo sapiens	Neuronal System
12121	R-HSA-194306	Neurophilin interactions with VEGF and VEGFR	Homo sapiens	Signal Transduction
12122	R-HSA-168799	Neurotoxicity of clostridium toxins	Homo sapiens	Disease
12123	R-HSA-112311	Neurotransmitter clearance	Homo sapiens	Neuronal System
12124	R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	Homo sapiens	Neuronal System
12125	R-HSA-112310	Neurotransmitter release cycle	Homo sapiens	Neuronal System
12126	R-HSA-112313	Neurotransmitter uptake and metabolism In glial cells	Homo sapiens	Neuronal System
12127	R-HSA-6798695	Neutrophil degranulation	Homo sapiens	Immune System
12128	R-HSA-197264	Nicotinamide salvaging	Homo sapiens	Metabolism
12129	R-HSA-196807	Nicotinate metabolism	Homo sapiens	Metabolism
12130	R-HSA-9669926	Nilotinib-resistant KIT mutants	Homo sapiens	Disease
12131	R-HSA-392154	Nitric oxide stimulates guanylate cyclase	Homo sapiens	Hemostasis
12132	R-HSA-427413	NoRC negatively regulates rRNA expression	Homo sapiens	Gene expression (Transcription)
12133	R-HSA-3000171	Non-integrin membrane-ECM interactions	Homo sapiens	Extracellular matrix organization
12134	R-HSA-9017802	Noncanonical activation of NOTCH3	Homo sapiens	Signal Transduction
12135	R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	Homo sapiens	DNA Repair
12136	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	Homo sapiens	Metabolism of RNA
12137	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	Homo sapiens	Metabolism of RNA
12138	R-HSA-927802	Nonsense-Mediated Decay (NMD)	Homo sapiens	Metabolism of RNA
12139	R-HSA-181430	Norepinephrine Neurotransmitter Release Cycle	Homo sapiens	Neuronal System
12140	R-HSA-350054	Notch-HLH transcription pathway	Homo sapiens	Gene expression (Transcription)
12141	R-HSA-447038	NrCAM interactions	Homo sapiens	Developmental Biology
12142	R-HSA-2995410	Nuclear Envelope (NE) Reassembly	Homo sapiens	Cell Cycle
12143	R-HSA-2980766	Nuclear Envelope Breakdown	Homo sapiens	Cell Cycle
12144	R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	Homo sapiens	Signal Transduction
12145	R-HSA-3301854	Nuclear Pore Complex (NPC) Disassembly	Homo sapiens	Cell Cycle
12146	R-HSA-383280	Nuclear Receptor transcription pathway	Homo sapiens	Gene expression (Transcription)
12147	R-HSA-9759194	Nuclear events mediated by NFE2L2	Homo sapiens	Cellular responses to stimuli
12148	R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	Homo sapiens	Disease
12149	R-HSA-180746	Nuclear import of Rev protein	Homo sapiens	Disease
12150	R-HSA-1251985	Nuclear signaling by ERBB4	Homo sapiens	Signal Transduction
12151	R-HSA-774815	Nucleosome assembly	Homo sapiens	Cell Cycle
12152	R-HSA-5696398	Nucleotide Excision Repair	Homo sapiens	DNA Repair
12153	R-HSA-8956320	Nucleotide biosynthesis	Homo sapiens	Metabolism
12154	R-HSA-8956319	Nucleotide catabolism	Homo sapiens	Metabolism
12155	R-HSA-9735786	Nucleotide catabolism defects	Homo sapiens	Disease
12156	R-HSA-8956321	Nucleotide salvage	Homo sapiens	Metabolism
12157	R-HSA-9734207	Nucleotide salvage defects	Homo sapiens	Disease
12158	R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	Homo sapiens	Immune System
12159	R-HSA-418038	Nucleotide-like (purinergic) receptors	Homo sapiens	Signal Transduction
12160	R-HSA-5173214	O-glycosylation of TSR domain-containing proteins	Homo sapiens	Metabolism of proteins
12161	R-HSA-5173105	O-linked glycosylation	Homo sapiens	Metabolism of proteins
12162	R-HSA-913709	O-linked glycosylation of mucins	Homo sapiens	Metabolism of proteins
12163	R-HSA-1480926	O2/CO2 exchange in erythrocytes	Homo sapiens	Transport of small molecules
12164	R-HSA-8983711	OAS antiviral response	Homo sapiens	Immune System
12165	R-HSA-9673163	Oleoyl-phe metabolism	Homo sapiens	Metabolism
12166	R-HSA-381753	Olfactory Signaling Pathway	Homo sapiens	Sensory Perception
12167	R-HSA-190704	Oligomerization of connexins into connexons	Homo sapiens	Vesicle-mediated transport
12168	R-HSA-2559585	Oncogene Induced Senescence	Homo sapiens	Cellular responses to stimuli
12169	R-HSA-6802957	Oncogenic MAPK signaling	Homo sapiens	Disease
12170	R-HSA-111885	Opioid Signalling	Homo sapiens	Signal Transduction
12171	R-HSA-419771	Opsins	Homo sapiens	Signal Transduction
12172	R-HSA-68949	Orc1 removal from chromatin	Homo sapiens	Cell Cycle
12173	R-HSA-389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors	Homo sapiens	Signal Transduction
12174	R-HSA-1852241	Organelle biogenesis and maintenance	Homo sapiens	Organelle biogenesis and maintenance
12175	R-HSA-561048	Organic anion transport	Homo sapiens	Transport of small molecules
12176	R-HSA-428643	Organic anion transporters	Homo sapiens	Transport of small molecules
12177	R-HSA-549127	Organic cation transport	Homo sapiens	Transport of small molecules
12178	R-HSA-549132	Organic cation/anion/zwitterion transport	Homo sapiens	Transport of small molecules
12179	R-HSA-449836	Other interleukin signaling	Homo sapiens	Immune System
12180	R-HSA-416700	Other semaphorin interactions	Homo sapiens	Developmental Biology
12181	R-HSA-5689896	Ovarian tumor domain proteases	Homo sapiens	Metabolism of proteins
12182	R-HSA-2559580	Oxidative Stress Induced Senescence	Homo sapiens	Cellular responses to stimuli
12183	R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Homo sapiens	Cellular responses to stimuli
12184	R-HSA-417957	P2Y receptors	Homo sapiens	Signal Transduction
